Platform,Course Title,Content Developer,Equivalent AU,Course Type,Enrolment Date,Free for NTU students
Coursera,Excel to MySQL: Analytic Techniques,Duke University,3,GER-PE (BM) / GER-PE (LA) / GER-PE (STS) / UE / BDE: All programmes,14-Mar-24,Yes
Coursera,Self-Driving Cars Specialization,University of Toronto,3,UE / BDE: All programmes,22-Jul-24,Yes
Coursera,Building Cloud Computing Solutions,Duke University,3,UE / BDE: All programmes,5-Nov-24,Yes
Coursera,Moral Foundations of Politics,Yale University,2,GER-PE (LA) / UE / BDE: All programmes,19-Aug-20,Yes
Coursera,Introduction to Programming and Animation with Alice,Duke University,2,UE / BDE: All programmes,1-May-23,Yes
Coursera,The Evolving Universe,California Institute of Technology (Caltech),2,UE / BDE: All programmes,1-May-23,Yes
Coursera,The Finite Element Method for Problems in Physics,University of Michigan,2,UE / BDE: All programmes,1-May-23,Yes
Coursera,Essentials of Global Health,Yale University,2,GER-PE (STS) / UE / BDE: All programmes,8-May-23,Yes
Coursera,FPGA Computing Systems: Background Knowledge and Introductory Materials,Politecnico di Milano,2,UE / BDE: All programmes,8-May-23,Yes
Coursera,Medical Neuroscience,Duke University,2,GER-PE (STS) / UE / BDE: All programmes,8-May-23,Yes
Coursera,Excel Skills for Data Analytics and Visualization Specialization,Macquarie University,2,UE / BDE: All programmes,28-Nov-23,Yes
Coursera,Applied Social Network Analysis in Python,University of Michigan,1,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,Yes
Coursera,GIS Data Acquisition and Map Design,University of Toronto,1,GER-PE (STS) / UE / BDE: All programmes,19-Aug-20,Yes
Coursera,Organizational Analysis,Stanford University,1,GER-PE (LA) / UE / BDE: All programmes,19-Aug-20,Yes
Coursera,The Science of Well-Being,Yale University,1,GER-PE (LA) / UE / BDE: All programmes,19-Aug-20,Yes
Coursera,A Business Approach to Sustainable Landscape Restoration,Erasmus University Rotterdam,1,GER-PE (BM) / UE / BDE: All programmes,25-Jul-21,Yes
Coursera,Business Model Innovation for Sustainable Landscape Restoration,Erasmus University Rotterdam,1,GER-PE (BM) / UE / BDE: All programmes,25-Jul-21,Yes
Coursera,Advanced Neurobiology I,Peking University,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Advanced Neurobiology II,Peking University,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Applying Participatory Approaches in Public Health Settings,Imperial College London,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Design and Implementation of Digital Health Interventions,Imperial College London,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Evaluation of Digital Health Interventions,Imperial College London,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Health Systems Development: Introduction to Health Systems,Imperial College London,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Healthcare Entrepreneurship: Taking Ideas to Market,Imperial College London,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Introduction to Complexity Science,Nanyang Technological University Singapore,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Introduction to Digital Health,Imperial College London,1,UE / BDE: All programmes,12-Jan-22,Yes
Coursera,Introduction to Genetics and Evolution,Duke University,1,UE / BDE: All programmes,12-Jan-22,Yes
FutureLearn,Understanding Quantum Computers,Keio University,1,UE / BDE: All programmes,8-Jul-22,Yes
FutureLearn,Airway Matters,University College London,1,GER-PE (STS) / UE / BDE: All programmes,2-Mar-23,Yes
Coursera,A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),Yale University,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,"Act on Climate: Steps to Individual, Community, and Political Action",University of Michigan,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,Designing Learning Innovation,Politecnico di Milano,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,"Global Health Security, Solidarity and",University of Geneva,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,Indigenous Religions & Ecology,Yale University,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,Introduction to Negotiation: A,Yale University,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,Leading Innovation in Arts and Culture,Vanderbilt University,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,Motivating Gen Z Learners: What Parents and Teachers Need to Know,National Institute of Education (NIE),1,GER-PE (STS) / GER-PE (LA) / GER-PE (BM) / UE / BDE: All programmes,1-May-23,Yes
Coursera,"Religion and Thought in Modern China: the Song, Jin, and Yuan",The Chinese University of Hong Kong,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,"Sampling People, Networks and",University of Michigan,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,Simulation and modeling of natural processes,University of Geneva,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,Structuring Values in Modern China,The Chinese University of Hong Kong,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,The Science of the Solar System,California Institute of Technology (Caltech),1,UE / BDE: All programmes,1-May-23,Yes
Coursera,The Worldview of Thomas Berry: The,Yale University,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,What does it mean to identify as,University of Minnesota,1,UE / BDE: All programmes,1-May-23,Yes
FutureLearn,"Agriculture, Economics and Nature",The University of Western Australia,1,UE / BDE: All programmes,1-May-23,Yes
Coursera,Cloud Computing Foundations,Duke University,1,UE / BDE: All programmes,8-May-23,Yes
Coursera,Introduction to Medical Software,Yale University,1,GER-PE (STS) / UE / BDE: All programmes,8-May-23,Yes
Coursera,Introductory Human Physiology,Duke University,1,GER-PE (STS) / UE / BDE: All programmes,8-May-23,Yes
FutureLearn,Next Generation Biosecurity: Responding to 21st Century Biorisks,University of Bath,1,UE / BDE: All programmes,8-May-23,Yes
Coursera,Financial Markets,Yale University,1,"UE / BDE: All programmes except ACC, BUS, ACBS, BCE, BCG with specialization in Banking and Finance",11-May-23,Yes
Coursera,High Stakes Leadership: Leading in Times of Crisis,University of Michigan,1,UE / BDE: All programmes,11-May-23,Yes
Coursera,Building Database Applications in PHP Note: Students are recommended to read ¡®SC2207 Introduction to Databases¡¯ (or equivalent course) before enrolling in this MOOC.,University of Michigan,1,UE / BDE: All programmes,17-May-23,Yes
Coursera,Information Theory,The Chinese University of Hong Kong,1,UE / BDE: All programmes,17-May-23,Yes
Coursera,Introduction to Recommender Systems: Non-Personalized and Content-Based Note: Students are recommended to read ¡®SC2002 Object Oriented Design & Programming¡¯ (or equivalent course) before enrolling in this MOOC.,University of Minnesota,1,UE / BDE: All programmes,17-May-23,Yes
Coursera,Introduction to Software Testing Note: Students are recommended to read ¡®SC2002 Object Oriented Design & Programming¡¯ (or equivalent course) before enrolling in this MOOC.,University of Minnesota,1,UE / BDE: All programmes,17-May-23,Yes
